CLASS,type,PlotID,longitude,latitude,Year,h,v,Coast,row,col,rowResize,colResize
9,Developed-Barren,21781,-124.462,42.9924,2016,1,4,West,4996,4724,150,142
6,Woody,21783,-124.454,43.0032,2016,1,4,West,4964,4756,149,143
7,Herbaceous,21784,-124.447,43.0064,2016,1,4,West,4958,4778,149,144
7,Herbaceous,21787,-124.443,43.0099,2016,1,4,West,4949,4792,149,144
6,Woody,21788,-124.441,43.0109,2016,1,4,West,4947,4798,149,144
6,Woody,21790,-124.448,43.0141,2016,1,4,West,4930,4784,148,144
6,Woody,21791,-124.439,43.0161,2016,1,4,West,4930,4809,148,145
6,Woody,21793,-124.447,43.0154,2016,1,4,West,4926,4788,148,144
7,Herbaceous,21804,-124.417,43.0453,2016,1,4,West,4844,4898,146,147
7,Herbaceous,21805,-124.417,43.0472,2016,1,4,West,4837,4900,146,147
7,Herbaceous,21807,-124.44,43.0463,2016,1,4,West,4822,4840,145,146
7,Herbaceous,21808,-124.44,43.047,2016,1,4,West,4820,4841,145,146
7,Herbaceous,21810,-124.425,43.0564,2016,1,4,West,4798,4890,144,147
4,Tidal flats,21838,-124.41,43.1206,2016,1,4,West,4582,4999,138,150
4,Tidal flats,21843,-124.412,43.1253,2016,1,4,West,4563,4999,137,150
7,Herbaceous,21850,-124.418,43.1306,2016,1,4,West,4540,4989,137,150
7,Herbaceous,21851,-124.418,43.1319,2016,1,4,West,4535,4991,137,150
7,Herbaceous,21855,-124.419,43.134,2016,1,4,West,4527,4990,136,150
7,Herbaceous,35424,-124.417,43.0472,1990,1,4,West,4837,4900,146,147
7,Herbaceous,35425,-124.425,43.0564,1990,1,4,West,4798,4890,144,147
4,Tidal flats,35427,-124.412,43.1253,1990,1,4,West,4563,4999,137,150
7,Herbaceous,21153,-124.153,41.729,2016,1,5,West,4745,4148,143,125
7,Herbaceous,21157,-124.17,41.7466,2016,1,5,West,4669,4122,141,124
7,Herbaceous,21165,-124.185,41.7572,2016,1,5,West,4619,4094,139,123
7,Herbaceous,21172,-124.183,41.761,2016,1,5,West,4607,4104,139,124
7,Herbaceous,21189,-124.186,41.8007,2016,1,5,West,4463,4139,134,125
7,Herbaceous,21190,-124.17,41.8072,2016,1,5,West,4452,4188,134,126
7,Herbaceous,21191,-124.196,41.8017,2016,1,5,West,4451,4114,134,124
7,Herbaceous,21192,-124.172,41.81,2016,1,5,West,4441,4186,134,126
7,Herbaceous,21193,-124.193,41.8054,2016,1,5,West,4440,4126,134,124
7,Herbaceous,21195,-124.22,41.8169,2016,1,5,West,4378,4067,132,123
7,Herbaceous,21196,-124.205,41.8225,2016,1,5,West,4370,4113,132,124
7,Herbaceous,21197,-124.22,41.821,2016,1,5,West,4363,4072,131,123
7,Herbaceous,21198,-124.203,41.825,2016,1,5,West,4362,4121,131,124
7,Herbaceous,21199,-124.213,41.8234,2016,1,5,West,4360,4093,131,123
7,Herbaceous,21200,-124.2,41.8278,2016,1,5,West,4355,4132,131,124
7,Herbaceous,21202,-124.216,41.8252,2016,1,5,West,4351,4087,131,123
7,Herbaceous,21204,-124.219,41.8389,2016,1,5,West,4300,4094,129,123
7,Herbaceous,21207,-124.217,41.8426,2016,1,5,West,4288,4103,129,124
7,Herbaceous,21208,-124.215,41.845,2016,1,5,West,4281,4111,129,124
7,Herbaceous,21209,-124.214,41.8451,2016,1,5,West,4282,4114,129,124
7,Herbaceous,21210,-124.213,41.846,2016,1,5,West,4279,4117,129,124
7,Herbaceous,21211,-124.212,41.8495,2016,1,5,West,4268,4124,129,124
5,Open water,21213,-124.124,41.8708,2016,1,5,West,4262,4378,128,132
7,Herbaceous,21214,-124.212,41.8515,2016,1,5,West,4261,4126,128,124
10,Land-water interface,21215,-124.125,41.871,2016,1,5,West,4261,4376,128,132
7,Herbaceous,21216,-124.211,41.8553,2016,1,5,West,4248,4133,128,124
7,Herbaceous,21217,-124.189,41.8611,2016,1,5,West,4245,4197,128,126
7,Herbaceous,21218,-124.208,41.8573,2016,1,5,West,4243,4143,128,125
7,Herbaceous,21219,-124.208,41.8573,2016,1,5,West,4243,4143,128,125
7,Herbaceous,21220,-124.209,41.8579,2016,1,5,West,4240,4141,128,125
7,Herbaceous,21221,-124.212,41.8574,2016,1,5,West,4240,4133,128,124
7,Herbaceous,21222,-124.19,41.8623,2016,1,5,West,4240,4196,128,126
7,Herbaceous,21223,-124.207,41.8586,2016,1,5,West,4239,4147,128,125
7,Herbaceous,21224,-124.195,41.8662,2016,1,5,West,4222,4187,127,126
5,Open water,21225,-124.14,41.8807,2016,1,5,West,4214,4347,127,131
6,Woody,21226,-124.208,41.869,2016,1,5,West,4201,4156,127,125
6,Woody,21227,-124.204,41.8729,2016,1,5,West,4191,4170,126,126
7,Herbaceous,21228,-124.205,41.8729,2016,1,5,West,4190,4168,126,126
7,Herbaceous,21229,-124.203,41.8736,2016,1,5,West,4189,4174,126,126
7,Herbaceous,21230,-124.193,41.8766,2016,1,5,West,4186,4203,126,127
6,Woody,21231,-124.205,41.8762,2016,1,5,West,4178,4171,126,126
10,Land-water interface,21232,-124.149,41.8893,2016,1,5,West,4176,4333,126,130
7,Herbaceous,21233,-124.19,41.8804,2016,1,5,West,4175,4215,126,127
